Date,D0,Value
1974-02,EG3M,
1974-02,1M,
1974-02,3M0,
1974-02,6M,
1974-02,12M,
1974-02,3M1,
1974-02,3M2,
1974-02,3M3,
1974-02,3M4,
1974-03,SARON,
1974-03,1TGT,4.0
1974-03,EG3M,
1974-03,1M,
1974-03,3M0,
1974-03,6M,
1974-03,12M,
1974-03,3M1,
1974-03,3M2,
1974-03,3M3,
1974-03,3M4,
1974-04,SARON,
1974-04,1TGT,1.0
1974-04,EG3M,
1974-04,1M,
1974-04,3M0,
1974-04,6M,
1974-04,12M,
1974-04,3M1,
1974-04,3M2,
1974-04,3M3,
1974-04,3M4,
1974-05,SARON,
1974-05,1TGT,4.0
1974-05,EG3M,
1974-05,1M,
1974-05,3M0,
1974-05,6M,
1974-05,12M,
1974-05,3M1,
1974-05,3M2,
1974-05,3M3,
1974-05,3M4,
1974-06,SARON,
1974-06,1TGT,4.0
1974-06,EG3M,
1974-06,1M,
1974-06,3M0,
1974-06,6M,
1974-06,12M,
1974-06,3M1,
1974-06,3M2,
1974-06,3M3,
1974-06,3M4,
1974-07,SARON,
1974-07,1TGT,2.5
1974-07,EG3M,
1974-07,1M,
1974-07,3M0,
1974-07,6M,
1974-07,12M,
1974-07,3M1,
1974-07,3M2,
1974-07,3M3,
1974-07,3M4,
1974-08,SARON,
1974-08,1TGT,6.0
1974-08,EG3M,
1974-08,1M,
1974-08,3M0,
1974-08,6M,
1974-08,12M,
1974-08,3M1,
1974-08,3M2,
1974-08,3M3,
1974-08,3M4,
1974-09,SARON,
1974-09,1TGT,1.0
1974-09,EG3M,
1974-09,1M,
1974-09,3M0,
1974-09,6M,
1974-09,12M,
1974-09,3M1,
1974-09,3M2,
1974-09,3M3,
1974-09,3M4,
1974-10,SARON,
1974-10,1TGT,0.25
1974-10,EG3M,
1974-10,1M,
1974-10,3M0,
1974-10,6M,
1974-10,12M,
1974-10,3M1,
1974-10,3M2,
1974-10,3M3,
1974-10,3M4,
1974-11,SARON,
1974-11,1TGT,3.0
1974-11,EG3M,
1974-11,1M,
1974-11,3M0,
1974-11,6M,
1974-11,12M,
1974-11,3M1,
1974-11,3M2,
1974-11,3M3,
1974-11,3M4,
1974-12,SARON,
1974-12,1TGT,1.0
1974-12,EG3M,
1974-12,1M,
1974-12,3M0,
1974-12,6M,
1974-12,12M,
1974-12,3M1,
1974-12,3M2,
1974-12,3M3,
1974-12,3M4,
1975-01,SARON,
1975-01,1TGT,0.5
1975-01,EG3M,
1975-01,1M,
1975-01,3M0,
1975-01,6M,
1975-01,12M,
1975-01,3M1,
1975-01,3M2,
1975-01,3M3,
1975-01,3M4,
1975-02,SARON,
1975-02,1TGT,1.0
1975-02,EG3M,
1975-02,1M,
1975-02,3M0,
1975-02,6M,
1975-02,12M,
1975-02,3M1,
1975-02,3M2,
1975-02,3M3,
1975-02,3M4,
1975-03,SARON,
1975-03,1TGT,1.0
1975-03,EG3M,
1975-03,1M,
1975-03,3M0,
1975-03,6M,
1975-03,12M,
1975-03,3M1,
1975-03,3M2,
1975-03,3M3,
1975-03,3M4,
1975-04,SARON,
1975-04,1TGT,1.0
1975-04,EG3M,
1975-04,1M,
1975-04,3M0,
1975-04,6M,
1975-04,12M,
1975-04,3M1,
1975-04,3M2,
1975-04,3M3,
1975-04,3M4,
1975-05,SARON,
1975-05,1TGT,1.0
1975-05,EG3M,
1975-05,1M,
1975-05,3M0,
1975-05,6M,
1975-05,12M,
1975-05,3M1,
1975-05,3M2,
1975-05,3M3,
1975-05,3M4,
1975-06,SARON,
1975-06,1TGT,0.5
1975-06,EG3M,
1975-06,1M,
1975-06,3M0,
1975-06,6M,
1975-06,12M,
1975-06,3M1,
1975-06,3M2,
1975-06,3M3,
1975-06,3M4,
1975-07,SARON,
1975-07,1TGT,3.0
1975-07,EG3M,
1975-07,1M,
1975-07,3M0,
1975-07,6M,
1975-07,12M,
1975-07,3M1,
1975-07,3M2,
1975-07,3M3,
1975-07,3M4,
1975-08,SARON,
1975-08,1TGT,0.375
1975-08,EG3M,
1975-08,1M,
1975-08,3M0,
1975-08,6M,
1975-08,12M,
1975-08,3M1,
1975-08,3M2,
1975-08,3M3,
1975-08,3M4,
1975-09,SARON,
1975-09,1TGT,2.5
1975-09,EG3M,
1975-09,1M,
1975-09,3M0,
1975-09,6M,
1975-09,12M,
1975-09,3M1,
1975-09,3M2,
1975-09,3M3,
1975-09,3M4,
1975-10,SARON,
1975-10,1TGT,0.75
1975-10,EG3M,
1975-10,1M,
1975-10,3M0,
1975-10,6M,
1975-10,12M,
1975-10,3M1,
1975-10,3M2,
1975-10,3M3,
1975-10,3M4,
1975-11,SARON,
1975-11,1TGT,2.0
1975-11,EG3M,
1975-11,1M,
1975-11,3M0,
1975-11,6M,
1975-11,12M,
1975-11,3M1,
1975-11,3M2,
1975-11,3M3,
1975-11,3M4,
1975-12,SARON,
1975-12,1TGT,2.0
1975-12,EG3M,
1975-12,1M,
1975-12,3M0,
1975-12,6M,
1975-12,12M,
1975-12,3M1,
1975-12,3M2,
1975-12,3M3,
1975-12,3M4,
1976-01,SARON,
1976-01,1TGT,0.5
1976-01,EG3M,
1976-01,1M,
1976-01,3M0,
1976-01,6M,
1976-01,12M,
1976-01,3M1,
1976-01,3M2,
1976-01,3M3,
1976-01,3M4,
1976-02,SARON,
1976-02,1TGT,0.75
1976-02,EG3M,
1976-02,1M,
1976-02,3M0,
1976-02,6M,
1976-02,12M,
1976-02,3M1,
1976-02,3M2,
1976-02,3M3,
1976-02,3M4,
1976-03,SARON,
1976-03,1TGT,0.5
1976-03,EG3M,
1976-03,1M,
1976-03,3M0,
1976-03,6M,
1976-03,12M,
1976-03,3M1,
1976-03,3M2,
1976-03,3M3,
1976-03,3M4,
1976-04,SARON,
1976-04,1TGT,0.5
1976-04,EG3M,
1976-04,1M,
1976-04,3M0,
1976-04,6M,
1976-04,12M,
1976-04,3M1,
1976-04,3M2,
1976-04,3M3,
1976-04,3M4,
1976-05,SARON,
1976-05,1TGT,0.5
1976-05,EG3M,
1976-05,1M,
1976-05,3M0,
1976-05,6M,
1976-05,12M,
1976-05,3M1,
1976-05,3M2,
1976-05,3M3,
1976-05,3M4,
1976-06,SARON,
1976-06,1TGT,0.25
1976-06,EG3M,
1976-06,1M,
1976-06,3M0,
1976-06,6M,
1976-06,12M,
1976-06,3M1,
1976-06,3M2,
1976-06,3M3,
1976-06,3M4,
1976-07,SARON,
1976-07,1TGT,1.5
1976-07,EG3M,
1976-07,1M,
1976-07,3M0,
1976-07,6M,
1976-07,12M,
1976-07,3M1,
1976-07,3M2,
1976-07,3M3,
1976-07,3M4,
1976-08,SARON,
1976-08,1TGT,0.5
1976-08,EG3M,
1976-08,1M,
1976-08,3M0,
1976-08,6M,
1976-08,12M,
1976-08,3M1,
1976-08,3M2,
1976-08,3M3,
1976-08,3M4,
1976-09,SARON,
1976-09,1TGT,0.0
1976-09,EG3M,
1976-09,1M,
1976-09,3M0,
1976-09,6M,
1976-09,12M,
1976-09,3M1,
1976-09,3M2,
1976-09,3M3,
1976-09,3M4,
1976-10,SARON,
1976-10,1TGT,0.0
1976-10,EG3M,
1976-10,1M,
1976-10,3M0,
1976-10,6M,
1976-10,12M,
1976-10,3M1,
1976-10,3M2,
1976-10,3M3,
1976-10,3M4,
1976-11,SARON,
1976-11,1TGT,0.0
1976-11,EG3M,
1976-11,1M,
1976-11,3M0,
1976-11,6M,
1976-11,12M,
1976-11,3M1,
1976-11,3M2,
1976-11,3M3,
1976-11,3M4,
1976-12,SARON,
1976-12,1TGT,0.0
1976-12,EG3M,
1976-12,1M,
1976-12,3M0,
1976-12,6M,
1976-12,12M,
1976-12,3M1,
1976-12,3M2,
1976-12,3M3,
1976-12,3M4,
1977-01,SARON,
1977-01,1TGT,0.0
1977-01,EG3M,
1977-01,1M,
1977-01,3M0,
1977-01,6M,
1977-01,12M,
1977-01,3M1,
1977-01,3M2,
1977-01,3M3,
1977-01,3M4,
1977-02,SARON,
1977-02,1TGT,0.125
1977-02,EG3M,
1977-02,1M,
1977-02,3M0,
1977-02,6M,
1977-02,12M,
1977-02,3M1,
1977-02,3M2,
1977-02,3M3,
1977-02,3M4,
1977-03,SARON,
1977-03,1TGT,0.0
1977-03,EG3M,
1977-03,1M,
1977-03,3M0,
1977-03,6M,
1977-03,12M,
1977-03,3M1,
1977-03,3M2,
1977-03,3M3,
1977-03,3M4,
1977-04,SARON,
1977-04,1TGT,3.5
1977-04,EG3M,
1977-04,1M,
1977-04,3M0,
1977-04,6M,
1977-04,12M,
1977-04,3M1,
1977-04,3M2,
1977-04,3M3,
1977-04,3M4,
1977-05,SARON,
1977-05,1TGT,1.5
1977-05,EG3M,
1977-05,1M,
1977-05,3M0,
1977-05,6M,
1977-05,12M,
1977-05,3M1,
1977-05,3M2,
1977-05,3M3,
1977-05,3M4,
1977-06,SARON,
1977-06,1TGT,1.0
1977-06,EG3M,
1977-06,1M,
1977-06,3M0,
1977-06,6M,
1977-06,12M,
1977-06,3M1,
1977-06,3M2,
1977-06,3M3,
1977-06,3M4,
1977-07,SARON,
1977-07,1TGT,1.0
1977-07,EG3M,
1977-07,1M,
1977-07,3M0,
1977-07,6M,
1977-07,12M,
1977-07,3M1,
1977-07,3M2,
1977-07,3M3,
1977-07,3M4,
1977-08,SARON,
1977-08,1TGT,0.5
1977-08,EG3M,
1977-08,1M,
1977-08,3M0,
1977-08,6M,
1977-08,12M,
1977-08,3M1,
1977-08,3M2,
1977-08,3M3,
1977-08,3M4,
1977-09,SARON,
1977-09,1TGT,0.0
1977-09,EG3M,
1977-09,1M,
1977-09,3M0,
1977-09,6M,
1977-09,12M,
1977-09,3M1,
1977-09,3M2,
1977-09,3M3,
1977-09,3M4,
1977-10,SARON,
1977-10,1TGT,0.0
1977-10,EG3M,
1977-10,1M,
1977-10,3M0,
1977-10,6M,
1977-10,12M,
1977-10,3M1,
1977-10,3M2,
1977-10,3M3,
1977-10,3M4,
1977-11,SARON,
1977-11,1TGT,0.0
1977-11,EG3M,
1977-11,1M,
1977-11,3M0,
1977-11,6M,
1977-11,12M,
1977-11,3M1,
1977-11,3M2,
1977-11,3M3,
1977-11,3M4,
1977-12,SARON,
1977-12,1TGT,0.0
1977-12,EG3M,
1977-12,1M,
1977-12,3M0,
1977-12,6M,
1977-12,12M,
1977-12,3M1,
1977-12,3M2,
1977-12,3M3,
1977-12,3M4,
1978-01,SARON,
1978-01,1TGT,0.0
1978-01,EG3M,
1978-01,1M,
1978-01,3M0,
1978-01,6M,
1978-01,12M,
1978-01,3M1,
1978-01,3M2,
1978-01,3M3,
1978-01,3M4,
1978-02,SARON,
1978-02,1TGT,0.0
1978-02,EG3M,
1978-02,1M,
1978-02,3M0,
1978-02,6M,
1978-02,12M,
1978-02,3M1,
1978-02,3M2,
1978-02,3M3,
1978-02,3M4,
1978-03,SARON,
1978-03,1TGT,0.0
1978-03,EG3M,
1978-03,1M,
1978-03,3M0,
1978-03,6M,
1978-03,12M,
1978-03,3M1,
1978-03,3M2,
1978-03,3M3,
1978-03,3M4,
1978-04,SARON,
1978-04,1TGT,0.0
1978-04,EG3M,
1978-04,1M,
1978-04,3M0,
1978-04,6M,
1978-04,12M,
1978-04,3M1,
1978-04,3M2,
1978-04,3M3,
1978-04,3M4,
1978-05,SARON,
1978-05,1TGT,0.0
1978-05,EG3M,
1978-05,1M,
1978-05,3M0,
1978-05,6M,
1978-05,12M,
1978-05,3M1,
1978-05,3M2,
1978-05,3M3,
1978-05,3M4,
1978-06,SARON,
1978-06,1TGT,0.25
1978-06,EG3M,
1978-06,1M,
1978-06,3M0,
1978-06,6M,
1978-06,12M,
1978-06,3M1,
1978-06,3M2,
1978-06,3M3,
1978-06,3M4,
1978-07,SARON,
1978-07,1TGT,0.25
1978-07,EG3M,
1978-07,1M,
1978-07,3M0,
1978-07,6M,
1978-07,12M,
1978-07,3M1,
1978-07,3M2,
1978-07,3M3,
1978-07,3M4,
1978-08,SARON,
1978-08,1TGT,0.0
1978-08,EG3M,
1978-08,1M,
1978-08,3M0,
1978-08,6M,
1978-08,12M,
1978-08,3M1,
1978-08,3M2,
1978-08,3M3,
1978-08,3M4,
1978-09,SARON,
1978-09,1TGT,-1.25
1978-09,EG3M,
1978-09,1M,
1978-09,3M0,
1978-09,6M,
1978-09,12M,
1978-09,3M1,
1978-09,3M2,
1978-09,3M3,
1978-09,3M4,
1978-10,SARON,
1978-10,1TGT,-0.375
1978-10,EG3M,
1978-10,1M,
1978-10,3M0,
1978-10,6M,
1978-10,12M,
1978-10,3M1,
1978-10,3M2,
1978-10,3M3,
1978-10,3M4,
1978-11,SARON,
1978-11,1TGT,-0.5
1978-11,EG3M,
1978-11,1M,
1978-11,3M0,
1978-11,6M,
1978-11,12M,
1978-11,3M1,
1978-11,3M2,
1978-11,3M3,
1978-11,3M4,
1978-12,SARON,
1978-12,1TGT,-0.375
1978-12,EG3M,
1978-12,1M,
1978-12,3M0,
1978-12,6M,
1978-12,12M,
1978-12,3M1,
1978-12,3M2,
1978-12,3M3,
1978-12,3M4,
1979-01,SARON,
1979-01,1TGT,-0.0625
1979-01,EG3M,
1979-01,1M,
1979-01,3M0,
1979-01,6M,
1979-01,12M,
1979-01,3M1,
1979-01,3M2,
1979-01,3M3,
1979-01,3M4,
1979-02,SARON,
1979-02,1TGT,-0.25
1979-02,EG3M,
1979-02,1M,
1979-02,3M0,
1979-02,6M,
1979-02,12M,
1979-02,3M1,
1979-02,3M2,
1979-02,3M3,
1979-02,3M4,
1979-03,SARON,
1979-03,1TGT,-0.125
1979-03,EG3M,
1979-03,1M,
1979-03,3M0,
1979-03,6M,
1979-03,12M,
1979-03,3M1,
1979-03,3M2,
1979-03,3M3,
1979-03,3M4,
1979-04,SARON,
1979-04,1TGT,0.25
1979-04,EG3M,
1979-04,1M,
1979-04,3M0,
1979-04,6M,
1979-04,12M,
1979-04,3M1,
1979-04,3M2,
1979-04,3M3,
1979-04,3M4,
1979-05,SARON,
1979-05,1TGT,1.25
1979-05,EG3M,
1979-05,1M,
1979-05,3M0,
1979-05,6M,
1979-05,12M,
1979-05,3M1,
1979-05,3M2,
1979-05,3M3,
1979-05,3M4,
1979-06,SARON,
1979-06,1TGT,0.0
1979-06,EG3M,
1979-06,1M,
1979-06,3M0,
1979-06,6M,
1979-06,12M,
1979-06,3M1,
1979-06,3M2,
1979-06,3M3,
1979-06,3M4,
1979-07,SARON,
1979-07,1TGT,0.25
1979-07,EG3M,
1979-07,1M,
1979-07,3M0,
1979-07,6M,
1979-07,12M,
1979-07,3M1,
1979-07,3M2,
1979-07,3M3,
1979-07,3M4,
1979-08,SARON,
1979-08,1TGT,0.0
1979-08,EG3M,
1979-08,1M,
1979-08,3M0,
1979-08,6M,
1979-08,12M,
1979-08,3M1,
1979-08,3M2,
1979-08,3M3,
1979-08,3M4,
1979-09,SARON,
1979-09,1TGT,0.0
1979-09,EG3M,
1979-09,1M,
1979-09,3M0,
1979-09,6M,
1979-09,12M,
1979-09,3M1,
1979-09,3M2,
1979-09,3M3,
1979-09,3M4,
1979-10,SARON,
1979-10,1TGT,0.3125
1979-10,EG3M,
1979-10,1M,
1979-10,3M0,
1979-10,6M,
1979-10,12M,
1979-10,3M1,
1979-10,3M2,
1979-10,3M3,
1979-10,3M4,
1979-11,SARON,
1979-11,1TGT,0.0
1979-11,EG3M,
1979-11,1M,
1979-11,3M0,
1979-11,6M,
1979-11,12M,
1979-11,3M1,
1979-11,3M2,
1979-11,3M3,
1979-11,3M4,
1979-12,SARON,
1979-12,1TGT,0.125
1979-12,EG3M,
1979-12,1M,
1979-12,3M0,
1979-12,6M,
1979-12,12M,
1979-12,3M1,
1979-12,3M2,
1979-12,3M3,
1979-12,3M4,
1980-01,SARON,
1980-01,1TGT,0.0
1980-01,EG3M,
1980-01,1M,
1980-01,3M0,
1980-01,6M,
1980-01,12M,
1980-01,3M1,
1980-01,3M2,
1980-01,3M3,
1980-01,3M4,
1980-02,SARON,
1980-02,1TGT,2.25
1980-02,EG3M,
1980-02,1M,
1980-02,3M0,
1980-02,6M,
1980-02,12M,
1980-02,3M1,
1980-02,3M2,
1980-02,3M3,
1980-02,3M4,
1980-03,SARON,
1980-03,1TGT,0.0
1980-03,EG3M,
1980-03,1M,
1980-03,3M0,
1980-03,6M,
1980-03,12M,
1980-03,3M1,
1980-03,3M2,
1980-03,3M3,
1980-03,3M4,
1980-04,SARON,
1980-04,1TGT,3.25
1980-04,EG3M,
1980-04,1M,
1980-04,3M0,
1980-04,6M,
1980-04,12M,
1980-04,3M1,
1980-04,3M2,
1980-04,3M3,
1980-04,3M4,
1980-05,SARON,
1980-05,1TGT,0.125
1980-05,EG3M,
1980-05,1M,
1980-05,3M0,
1980-05,6M,
1980-05,12M,
1980-05,3M1,
1980-05,3M2,
1980-05,3M3,
1980-05,3M4,
1980-06,SARON,
1980-06,1TGT,1.375
1980-06,EG3M,
1980-06,1M,
1980-06,3M0,
1980-06,6M,
1980-06,12M,
1980-06,3M1,
1980-06,3M2,
1980-06,3M3,
1980-06,3M4,
1980-07,SARON,
1980-07,1TGT,2.875
1980-07,EG3M,
1980-07,1M,
1980-07,3M0,
1980-07,6M,
1980-07,12M,
1980-07,3M1,
1980-07,3M2,
1980-07,3M3,
1980-07,3M4,
1980-08,SARON,
1980-08,1TGT,2.25
1980-08,EG3M,
1980-08,1M,
1980-08,3M0,
1980-08,6M,
1980-08,12M,
1980-08,3M1,
1980-08,3M2,
1980-08,3M3,
1980-08,3M4,
1980-09,SARON,
1980-09,1TGT,0.0
1980-09,EG3M,
1980-09,1M,
1980-09,3M0,
1980-09,6M,
1980-09,12M,
1980-09,3M1,
1980-09,3M2,
1980-09,3M3,
1980-09,3M4,
1980-10,SARON,
1980-10,1TGT,2.5
1980-10,EG3M,
1980-10,1M,
1980-10,3M0,
1980-10,6M,
1980-10,12M,
1980-10,3M1,
1980-10,3M2,
1980-10,3M3,
1980-10,3M4,
1980-11,SARON,
1980-11,1TGT,1.0
1980-11,EG3M,
1980-11,1M,
1980-11,3M0,
1980-11,6M,
1980-11,12M,
1980-11,3M1,
1980-11,3M2,
1980-11,3M3,
1980-11,3M4,
1980-12,SARON,
1980-12,1TGT,0.0
1980-12,EG3M,
1980-12,1M,
1980-12,3M0,
1980-12,6M,
1980-12,12M,
1980-12,3M1,
1980-12,3M2,
1980-12,3M3,
1980-12,3M4,
1981-01,SARON,
1981-01,1TGT,0.625
1981-01,EG3M,
1981-01,1M,
1981-01,3M0,
1981-01,6M,
1981-01,12M,
1981-01,3M1,
1981-01,3M2,
1981-01,3M3,
1981-01,3M4,
1981-02,SARON,
1981-02,1TGT,6.75
1981-02,EG3M,
1981-02,1M,
1981-02,3M0,
1981-02,6M,
1981-02,12M,
1981-02,3M1,
1981-02,3M2,
1981-02,3M3,
1981-02,3M4,
1981-03,SARON,
1981-03,1TGT,1.0
1981-03,EG3M,
1981-03,1M,
1981-03,3M0,
1981-03,6M,
1981-03,12M,
1981-03,3M1,
1981-03,3M2,
1981-03,3M3,
1981-03,3M4,
1981-04,SARON,
1981-04,1TGT,5.375
1981-04,EG3M,
1981-04,1M,
1981-04,3M0,
1981-04,6M,
1981-04,12M,
1981-04,3M1,
1981-04,3M2,
1981-04,3M3,
1981-04,3M4,
1981-05,SARON,
1981-05,1TGT,0.3125
1981-05,EG3M,
1981-05,1M,
1981-05,3M0,
1981-05,6M,
1981-05,12M,
1981-05,3M1,
1981-05,3M2,
1981-05,3M3,
1981-05,3M4,
1981-06,SARON,
1981-06,1TGT,1.875
1981-06,EG3M,
1981-06,1M,
1981-06,3M0,
1981-06,6M,
1981-06,12M,
1981-06,3M1,
1981-06,3M2,
1981-06,3M3,
1981-06,3M4,
1981-07,SARON,
1981-07,1TGT,0.625
1981-07,EG3M,
1981-07,1M,
1981-07,3M0,
1981-07,6M,
1981-07,12M,
1981-07,3M1,
1981-07,3M2,
1981-07,3M3,
1981-07,3M4,
1981-08,SARON,
1981-08,1TGT,0.5
1981-08,EG3M,
1981-08,1M,
1981-08,3M0,
1981-08,6M,
1981-08,12M,
1981-08,3M1,
1981-08,3M2,
1981-08,3M3,
1981-08,3M4,
1981-09,SARON,
1981-09,1TGT,3.5
1981-09,EG3M,
1981-09,1M,
1981-09,3M0,
1981-09,6M,
1981-09,12M,
1981-09,3M1,
1981-09,3M2,
1981-09,3M3,
1981-09,3M4,
1981-10,SARON,
1981-10,1TGT,3.1875
1981-10,EG3M,
1981-10,1M,
1981-10,3M0,
1981-10,6M,
1981-10,12M,
1981-10,3M1,
1981-10,3M2,
1981-10,3M3,
1981-10,3M4,
1981-11,SARON,
1981-11,1TGT,2.0625
1981-11,EG3M,
1981-11,1M,
1981-11,3M0,
1981-11,6M,
1981-11,12M,
1981-11,3M1,
1981-11,3M2,
1981-11,3M3,
1981-11,3M4,
1981-12,SARON,
1981-12,1TGT,4.75
1981-12,EG3M,
1981-12,1M,
1981-12,3M0,
1981-12,6M,
1981-12,12M,
1981-12,3M1,
1981-12,3M2,
1981-12,3M3,
1981-12,3M4,
1982-01,SARON,
1982-01,1TGT,3.1875
1982-01,EG3M,
1982-01,1M,
1982-01,3M0,
1982-01,6M,
1982-01,12M,
1982-01,3M1,
1982-01,3M2,
1982-01,3M3,
1982-01,3M4,
1982-02,SARON,
1982-02,1TGT,4.5
1982-02,EG3M,
1982-02,1M,
1982-02,3M0,
1982-02,6M,
1982-02,12M,
1982-02,3M1,
1982-02,3M2,
1982-02,3M3,
1982-02,3M4,
1982-03,SARON,
1982-03,1TGT,0.25
1982-03,EG3M,
1982-03,1M,
1982-03,3M0,
1982-03,6M,
1982-03,12M,
1982-03,3M1,
1982-03,3M2,
1982-03,3M3,
1982-03,3M4,
1982-04,SARON,
1982-04,1TGT,1.875
1982-04,EG3M,
1982-04,1M,
1982-04,3M0,
1982-04,6M,
1982-04,12M,
1982-04,3M1,
1982-04,3M2,
1982-04,3M3,
1982-04,3M4,
1982-05,SARON,
1982-05,1TGT,0.25
1982-05,EG3M,
1982-05,1M,
1982-05,3M0,
1982-05,6M,
1982-05,12M,
